车型,发动机类型,燃油类型,变速箱类型,排量(L),整备质量(kg),马力(hp),路况类型,交通状况,天气状况,环境温度(℃),驾驶风格,平均车速(km/h),车速波动,加速强度,刹车频率,定速巡航占比,海拔变化(m),胎压(bar),空调使用,乘客人数,行李重量(kg),纵向加速度均值(m/s²),纵向加速度标准差(m/s²),横向加速度均值(m/s²),横向加速度标准差(m/s²),急加速事件次数,急刹车事件次数,急变道事件次数,加减速切换频率(次/小时),怠速时间占比,大油门持续占比,加速度变化率均值(m/s³),百公里油耗(L)
轿车,混动,汽油,自动,2.4,2314.0,194.0,山区公路,严重拥堵,雾天,11.0,激进,22.7,7.4,0.86,0.31,0.14,138.0,2.2,0,2,125.0,3.595,0.548,1.362,0.84,4,1,1,14.4,0.129,0.083,1.656,25.0
皮卡,涡轮增压,柴油,双离合,2.1,2010.0,367.0,高速公路,缓行,雪天,13.0,温和,74.8,16.8,0.3,0.77,0.76,424.0,2.6,1,4,121.0,0.576,0.2,0.677,0.283,2,0,0,3.9,0.244,0.038,0.373,22.61
MPV,自然吸气,汽油,双离合,1.4,1803.0,141.0,高速公路,严重拥堵,雨天,38.0,温和,115.2,12.6,0.26,0.53,0.04,114.0,2.1,1,1,137.0,0.792,0.079,0.594,0.264,1,0,0,7.9,0.081,0.013,0.659,19.53
轿车,涡轮增压,柴油,双离合,1.9,2277.0,256.0,乡村公路,拥堵,雪天,11.4,标准,94.4,19.2,0.3,0.3,0.13,263.0,2.5,0,4,147.0,1.442,0.624,1.07,0.088,2,0,1,6.4,0.068,0.076,1.318,23.56
皮卡,插电混动,汽油,CVT,2.1,1780.0,141.0,乡村公路,严重拥堵,晴天,34.1,标准,86.2,19.4,0.29,0.61,0.48,265.0,2.3,1,5,200.0,2.017,0.368,1.286,0.482,0,0,2,13.1,0.216,0.02,1.199,21.57
轿车,插电混动,柴油,自动,2.3,2421.0,244.0,高速公路,拥堵,雪天,19.5,标准,27.9,30.4,0.84,0.41,0.38,444.0,2.6,1,1,79.0,2.039,0.196,1.193,0.566,2,1,1,9.4,0.253,0.061,1.406,21.74
跑车,自然吸气,柴油,手动,1.5,2407.0,368.0,乡村公路,拥堵,晴天,21.6,激进,76.3,22.2,0.8,0.47,0.5,280.0,2.1,1,3,41.0,1.777,0.68,0.226,0.283,1,3,2,21.7,0.136,0.022,1.373,25.0
SUV,混动,汽油,自动,3.1,2469.0,274.0,高速公路,拥堵,雪天,23.6,标准,97.6,20.4,0.84,0.68,0.1,486.0,2.6,0,3,9.0,2.134,0.638,0.19,0.548,1,1,1,16.1,0.193,0.109,1.211,25.0
SUV,插电混动,汽油,自动,1.0,1325.0,139.0,山区公路,畅通,雪天,22.0,温和,83.8,12.6,0.83,0.59,0.55,338.0,2.0,1,1,198.0,0.899,0.301,0.349,0.278,1,0,1,3.6,0.155,0.012,0.224,14.28
跑车,自然吸气,汽油,双离合,2.9,2105.0,141.0,城市道路,严重拥堵,晴天,-4.1,激进,43.9,23.7,0.44,0.27,0.61,280.0,2.3,0,2,87.0,0.807,0.912,1.939,0.795,3,3,0,16.1,0.136,0.049,1.62,25.0
皮卡,混动,汽油,CVT,3.6,1712.0,158.0,乡村公路,畅通,雨天,-9.2,标准,77.8,13.6,0.28,0.66,0.73,310.0,2.3,0,1,108.0,1.443,0.134,1.219,0.424,4,0,1,9.6,0.24,0.064,1.036,18.34
皮卡,混动,柴油,手动,1.7,1945.0,235.0,高速公路,拥堵,雨天,11.7,温和,41.8,22.4,0.7,0.28,0.73,494.0,2.9,0,5,169.0,0.413,0.243,0.394,0.041,0,0,0,4.8,0.078,0.015,0.333,17.54
SUV,自然吸气,汽油,双离合,1.8,1875.0,258.0,高速公路,严重拥堵,雨天,39.1,激进,90.0,13.9,0.81,0.25,0.8,85.0,2.1,1,1,71.0,2.44,1.271,1.122,0.507,1,1,2,19.3,0.073,0.067,0.76,25.0
SUV,混动,汽油,双离合,3.4,2480.0,333.0,山区公路,拥堵,晴天,10.9,温和,81.2,13.1,0.76,0.71,0.14,482.0,2.2,1,5,184.0,0.481,0.344,0.115,0.168,1,0,0,5.1,0.283,0.035,0.402,25.0
轿车,插电混动,柴油,CVT,3.6,1995.0,328.0,山区公路,缓行,雨天,13.9,激进,97.9,36.2,0.21,0.39,0.77,433.0,2.5,1,1,44.0,0.485,0.221,2.116,0.349,3,1,0,23.7,0.037,0.096,1.631,21.61
SUV,涡轮增压,柴油,手动,3.9,1250.0,202.0,城市道路,畅通,雪天,39.8,温和,89.3,15.1,0.64,0.34,0.24,28.0,2.0,0,4,52.0,0.247,0.397,0.451,0.276,0,0,0,6.3,0.169,0.051,0.488,18.35
SUV,自然吸气,柴油,自动,2.6,1818.0,233.0,城市道路,缓行,雨天,9.2,激进,94.4,28.4,0.19,0.45,0.77,41.0,2.2,0,4,26.0,1.887,1.227,0.337,0.501,1,1,2,11.0,0.066,0.133,0.55,22.73
MPV,涡轮增压,汽油,手动,1.3,1927.0,143.0,高速公路,缓行,晴天,-2.7,标准,99.8,18.6,0.28,0.27,0.02,259.0,2.5,0,3,168.0,1.573,0.888,0.778,0.102,3,0,0,7.4,0.127,0.045,1.184,18.03
SUV,自然吸气,柴油,手动,1.0,2137.0,312.0,山区公路,严重拥堵,雾天,-10.0,温和,45.4,23.9,0.79,0.16,0.39,102.0,2.2,1,5,113.0,0.552,0.264,0.419,0.232,0,0,0,7.3,0.319,0.04,0.211,25.0
SUV,自然吸气,汽油,双离合,3.9,1304.0,204.0,高速公路,拥堵,雾天,31.5,温和,44.1,20.1,0.59,0.45,0.74,196.0,2.8,1,2,104.0,0.685,0.134,0.573,0.051,1,0,0,4.5,0.138,0.001,0.237,20.37
轿车,混动,汽油,双离合,1.2,1925.0,119.0,高速公路,严重拥堵,雨天,16.7,温和,90.1,39.3,0.83,0.45,0.08,103.0,2.3,0,2,31.0,0.765,0.156,0.707,0.171,0,0,0,5.9,0.245,0.012,0.698,15.5
轿车,涡轮增压,汽油,手动,2.8,1382.0,211.0,山区公路,缓行,雨天,19.3,标准,83.8,16.5,0.49,0.24,0.47,409.0,2.2,1,2,194.0,1.491,0.7,0.359,0.202,0,1,0,8.0,0.173,0.004,0.7,20.26
MPV,插电混动,柴油,双离合,3.0,1988.0,136.0,高速公路,拥堵,雾天,31.9,激进,46.4,32.4,0.42,0.35,0.51,126.0,2.8,1,5,33.0,2.246,0.537,0.58,0.769,2,2,0,10.1,0.074,0.109,1.762,21.36
轿车,混动,汽油,双离合,1.0,2087.0,399.0,城市道路,拥堵,雨天,7.7,温和,30.2,29.4,0.32,0.16,0.34,341.0,2.0,0,1,162.0,0.661,0.191,0.563,0.276,1,0,0,6.7,0.224,0.031,0.223,19.89
轿车,插电混动,柴油,自动,1.3,2300.0,303.0,高速公路,拥堵,雪天,-2.1,标准,87.1,25.8,0.65,0.69,0.15,464.0,2.1,1,2,1.0,0.748,0.724,0.769,0.317,2,0,2,5.9,0.052,0.097,0.69,20.61
皮卡,自然吸气,柴油,手动,3.5,2226.0,268.0,城市道路,缓行,雾天,28.7,温和,110.2,25.9,0.26,0.43,0.67,373.0,2.5,1,1,30.0,0.707,0.239,0.204,0.2,2,1,1,2.8,0.141,0.007,0.313,25.0
跑车,混动,汽油,双离合,2.0,1495.0,320.0,高速公路,拥堵,雪天,0.8,激进,89.3,18.9,0.55,0.61,0.75,134.0,2.6,1,4,41.0,2.769,1.291,0.571,0.721,1,1,1,18.1,0.055,0.046,0.588,25.0
MPV,混动,柴油,CVT,3.0,1954.0,166.0,乡村公路,缓行,雪天,28.5,温和,94.0,23.0,0.68,0.6,0.73,60.0,2.6,1,4,186.0,0.312,0.211,0.454,0.15,0,0,1,2.7,0.307,0.005,0.334,18.35
跑车,自然吸气,汽油,CVT,3.2,1355.0,149.0,城市道路,缓行,雨天,31.7,温和,114.2,25.5,0.16,0.21,0.06,198.0,2.7,1,5,194.0,0.928,0.338,0.581,0.067,2,1,2,3.1,0.169,0.015,0.487,21.71
MPV,涡轮增压,柴油,CVT,1.3,2393.0,119.0,高速公路,畅通,雾天,32.8,激进,44.3,20.1,0.42,0.46,0.19,28.0,2.1,1,1,135.0,2.548,0.286,1.241,0.564,3,1,1,10.8,0.091,0.052,1.605,21.98
轿车,自然吸气,汽油,CVT,3.6,2036.0,174.0,城市道路,严重拥堵,雪天,31.1,激进,103.4,12.2,0.75,0.11,0.29,497.0,2.6,0,4,85.0,2.603,1.325,1.76,0.255,0,4,0,11.5,0.161,0.128,2.275,25.0
MPV,混动,柴油,双离合,1.2,1497.0,130.0,高速公路,畅通,雾天,4.2,温和,96.9,22.7,0.65,0.28,0.02,39.0,2.8,1,2,65.0,0.846,0.118,0.236,0.049,1,0,0,1.8,0.339,0.056,0.406,10.4
SUV,混动,柴油,手动,1.5,2070.0,181.0,山区公路,畅通,雪天,24.8,标准,33.1,8.5,0.39,0.75,0.72,486.0,2.2,0,1,132.0,2.005,0.246,1.267,0.427,1,1,1,16.9,0.146,0.06,1.247,19.07
皮卡,插电混动,柴油,自动,3.5,2395.0,237.0,乡村公路,拥堵,雪天,10.7,标准,106.4,5.7,0.77,0.72,0.59,476.0,2.2,0,4,128.0,2.1,0.841,1.455,0.159,2,2,0,9.4,0.083,0.12,0.646,25.0
MPV,自然吸气,柴油,CVT,3.2,2212.0,238.0,高速公路,严重拥堵,晴天,6.9,激进,44.8,13.6,0.32,0.73,0.09,65.0,2.1,1,4,4.0,3.308,0.838,1.71,0.307,3,0,0,11.5,0.111,0.031,1.339,25.0
皮卡,插电混动,汽油,双离合,2.4,1578.0,302.0,高速公路,严重拥堵,雾天,15.5,标准,48.8,18.4,0.34,0.37,0.67,439.0,2.9,1,1,43.0,0.863,0.651,1.359,0.232,3,1,0,9.6,0.091,0.065,1.662,20.28
跑车,自然吸气,柴油,双离合,1.6,2070.0,368.0,山区公路,严重拥堵,雾天,-3.7,激进,98.6,24.7,0.68,0.65,0.41,8.0,2.4,0,4,2.0,1.625,0.936,0.712,0.745,1,1,2,10.0,0.082,0.025,1.196,25.0
跑车,自然吸气,柴油,自动,3.8,1297.0,150.0,城市道路,缓行,雪天,2.6,标准,73.9,28.2,0.76,0.2,0.21,150.0,2.8,0,5,17.0,1.402,0.418,0.955,0.428,2,2,1,10.0,0.227,0.11,0.575,24.74
皮卡,涡轮增压,柴油,双离合,1.5,2415.0,328.0,山区公路,严重拥堵,晴天,-1.2,激进,24.3,27.5,0.73,0.11,0.46,264.0,2.2,0,3,105.0,1.911,0.394,1.21,0.108,1,3,1,24.8,0.167,0.148,1.067,25.0
皮卡,插电混动,柴油,双离合,1.8,2243.0,372.0,高速公路,缓行,晴天,10.5,温和,105.5,38.0,0.71,0.27,0.64,371.0,2.5,1,2,92.0,0.738,0.216,0.643,0.261,0,1,0,2.2,0.349,0.034,0.184,19.47
轿车,自然吸气,柴油,手动,3.3,1443.0,312.0,山区公路,畅通,雾天,2.4,标准,30.4,5.8,0.12,0.61,0.3,143.0,2.8,0,3,30.0,1.654,0.252,0.853,0.421,0,0,0,8.0,0.057,0.047,1.536,16.91
跑车,混动,汽油,自动,3.3,1984.0,230.0,城市道路,畅通,雪天,-1.8,标准,57.1,15.5,0.33,0.69,0.75,446.0,2.6,1,2,99.0,0.539,0.211,1.16,0.291,1,1,1,11.7,0.118,0.117,1.151,24.8
SUV,混动,柴油,自动,2.9,2409.0,389.0,山区公路,严重拥堵,雨天,-5.7,温和,79.3,7.4,0.84,0.41,0.27,337.0,2.5,0,4,150.0,1.13,0.269,0.688,0.052,1,1,0,7.5,0.229,0.035,0.777,25.0
轿车,混动,汽油,手动,1.4,2377.0,111.0,城市道路,缓行,雾天,-7.5,标准,45.0,22.6,0.76,0.28,0.46,327.0,2.8,1,1,133.0,2.208,0.873,1.216,0.344,2,2,1,10.4,0.169,0.074,1.201,21.33
SUV,涡轮增压,柴油,CVT,3.7,1711.0,239.0,乡村公路,缓行,雨天,23.6,温和,97.5,29.5,0.7,0.74,0.67,33.0,2.2,0,4,6.0,0.609,0.373,0.207,0.137,0,0,0,1.8,0.228,0.02,0.834,19.88
SUV,自然吸气,汽油,CVT,1.7,1865.0,198.0,山区公路,拥堵,晴天,3.4,标准,70.4,6.3,0.59,0.64,0.02,447.0,2.8,0,5,200.0,0.824,0.461,0.257,0.069,1,2,2,8.1,0.092,0.105,0.345,25.0
轿车,混动,汽油,双离合,3.1,1353.0,160.0,山区公路,缓行,雾天,-0.8,标准,119.5,26.1,0.72,0.16,0.63,365.0,2.1,0,5,28.0,2.393,0.485,1.455,0.566,0,2,0,7.0,0.263,0.065,1.615,19.07
轿车,混动,汽油,手动,3.4,1973.0,393.0,高速公路,畅通,晴天,34.0,温和,115.1,28.7,0.79,0.49,0.43,352.0,2.3,1,2,30.0,0.382,0.158,0.174,0.231,1,0,0,7.7,0.329,0.01,0.176,16.2
轿车,自然吸气,汽油,双离合,1.2,2369.0,252.0,山区公路,缓行,雨天,4.1,温和,103.5,18.0,0.88,0.68,0.52,201.0,2.8,1,5,29.0,0.603,0.248,0.261,0.093,1,1,0,6.8,0.243,0.059,0.601,23.18
跑车,混动,柴油,CVT,1.0,1881.0,126.0,城市道路,拥堵,雪天,23.0,温和,92.3,38.2,0.55,0.18,0.01,164.0,2.3,1,5,46.0,0.412,0.433,0.419,0.048,2,0,1,6.4,0.112,0.018,0.497,22.27
跑车,混动,汽油,手动,1.7,1693.0,199.0,乡村公路,缓行,雾天,30.8,激进,82.2,19.9,0.14,0.8,0.04,375.0,2.0,0,2,168.0,1.105,1.279,2.002,0.429,2,2,0,7.1,0.061,0.116,2.515,23.93
MPV,混动,柴油,双离合,1.3,1759.0,321.0,乡村公路,拥堵,晴天,7.4,温和,86.5,22.2,0.21,0.5,0.52,415.0,2.7,0,2,148.0,1.088,0.312,0.162,0.068,0,2,0,8.8,0.251,0.034,0.328,16.49
轿车,插电混动,汽油,手动,3.2,2443.0,395.0,山区公路,拥堵,雨天,-0.1,温和,44.4,13.5,0.33,0.55,0.53,52.0,2.2,1,2,143.0,0.733,0.364,0.305,0.194,2,1,0,7.1,0.246,0.053,0.806,23.75
MPV,混动,汽油,自动,3.0,2088.0,294.0,乡村公路,缓行,晴天,-4.2,标准,91.2,19.3,0.13,0.26,0.49,203.0,2.8,0,2,96.0,2.03,0.577,0.312,0.44,3,1,1,8.7,0.243,0.012,1.073,19.53
跑车,混动,汽油,双离合,2.1,2151.0,272.0,高速公路,严重拥堵,雪天,2.4,激进,113.1,28.7,0.85,0.38,0.16,123.0,2.4,1,3,46.0,2.735,0.583,2.08,0.661,1,2,0,13.0,0.046,0.089,1.432,25.0
跑车,自然吸气,柴油,双离合,2.0,2355.0,390.0,山区公路,严重拥堵,雪天,2.7,温和,110.7,16.5,0.34,0.53,0.21,368.0,2.5,0,1,178.0,0.311,0.407,0.476,0.111,2,0,0,7.7,0.24,0.043,0.527,25.0
轿车,自然吸气,汽油,自动,1.1,1244.0,319.0,乡村公路,拥堵,雾天,3.8,激进,79.3,32.0,0.26,0.2,0.2,386.0,2.6,1,3,10.0,1.804,1.051,1.422,0.604,6,1,1,10.9,0.135,0.18,2.272,22.08
MPV,混动,柴油,双离合,1.8,2391.0,199.0,乡村公路,严重拥堵,雪天,27.1,标准,72.0,30.5,0.15,0.7,0.44,293.0,2.9,1,3,60.0,2.122,0.603,1.12,0.513,5,0,1,13.6,0.049,0.018,1.523,24.84
皮卡,涡轮增压,柴油,双离合,3.2,2384.0,167.0,高速公路,拥堵,雾天,37.3,标准,98.4,6.5,0.3,0.33,0.35,78.0,2.8,0,3,194.0,2.039,0.123,0.951,0.208,3,0,0,7.5,0.092,0.028,1.603,24.6
轿车,自然吸气,汽油,自动,1.6,1320.0,280.0,山区公路,严重拥堵,晴天,38.3,激进,51.2,18.1,0.89,0.29,0.02,110.0,2.1,1,4,168.0,2.204,0.267,1.082,0.832,3,1,2,20.5,0.093,0.131,0.881,25.0
SUV,涡轮增压,柴油,CVT,1.6,1308.0,111.0,山区公路,严重拥堵,晴天,2.7,标准,80.4,6.7,0.67,0.11,0.62,218.0,2.8,1,2,118.0,1.812,0.695,1.125,0.537,2,0,1,6.6,0.118,0.057,0.324,21.29
跑车,自然吸气,柴油,CVT,2.4,1670.0,107.0,山区公路,畅通,雾天,27.1,温和,42.6,30.4,0.86,0.7,0.57,412.0,2.8,1,5,172.0,0.71,0.274,0.647,0.04,3,0,0,7.8,0.321,0.011,0.337,23.84
MPV,涡轮增压,汽油,自动,2.9,2119.0,268.0,高速公路,畅通,雪天,19.0,标准,40.2,37.9,0.64,0.41,0.11,86.0,2.1,1,4,29.0,0.34,0.559,0.463,0.254,3,2,0,3.6,0.243,0.071,0.421,23.65
MPV,涡轮增压,汽油,自动,2.3,1632.0,148.0,高速公路,畅通,雾天,-4.6,激进,107.9,14.0,0.47,0.23,0.65,246.0,2.9,0,5,130.0,1.223,0.563,0.87,0.414,5,1,1,22.1,0.17,0.031,2.337,19.51
SUV,自然吸气,汽油,CVT,1.9,2365.0,118.0,乡村公路,缓行,晴天,24.2,温和,87.8,32.4,0.67,0.23,0.22,301.0,2.8,0,5,3.0,0.799,0.12,0.517,0.12,0,0,0,3.6,0.269,0.046,0.345,20.35
轿车,混动,汽油,手动,3.3,1431.0,282.0,高速公路,拥堵,雾天,38.0,标准,44.0,28.7,0.23,0.71,0.46,193.0,2.1,0,1,150.0,1.704,0.75,0.355,0.287,1,2,3,4.2,0.203,0.057,0.909,17.04
跑车,混动,柴油,CVT,3.4,2078.0,307.0,乡村公路,严重拥堵,雾天,4.4,激进,25.5,28.1,0.64,0.73,0.65,188.0,2.3,0,2,123.0,2.273,0.531,1.847,0.622,1,0,1,20.8,0.092,0.033,1.468,25.0
轿车,自然吸气,汽油,手动,2.4,1433.0,286.0,乡村公路,畅通,雪天,32.6,激进,110.5,38.1,0.41,0.19,0.5,187.0,3.0,0,5,97.0,1.142,1.291,1.588,0.616,1,1,4,12.9,0.145,0.172,1.88,19.67
皮卡,插电混动,汽油,CVT,1.1,2372.0,365.0,山区公路,畅通,晴天,2.5,标准,25.3,20.5,0.86,0.79,0.48,431.0,2.7,0,1,120.0,1.501,0.224,1.431,0.188,1,1,1,11.9,0.111,0.059,0.377,23.78
SUV,自然吸气,汽油,CVT,1.3,2124.0,129.0,高速公路,拥堵,晴天,8.6,标准,31.0,5.1,0.58,0.23,0.69,220.0,2.8,0,4,28.0,1.551,0.459,0.274,0.431,3,3,1,11.4,0.164,0.02,1.75,20.0
轿车,自然吸气,柴油,双离合,3.0,1796.0,389.0,乡村公路,严重拥堵,晴天,-5.6,温和,65.1,6.6,0.54,0.53,0.54,19.0,2.9,0,3,93.0,0.625,0.373,0.742,0.283,2,0,1,5.9,0.062,0.016,0.823,20.58
跑车,混动,汽油,自动,3.6,2100.0,365.0,乡村公路,拥堵,雪天,10.8,激进,59.4,22.2,0.16,0.53,0.18,253.0,2.3,0,2,89.0,0.707,0.437,0.582,0.638,4,3,2,10.5,0.048,0.048,1.657,25.0
MPV,混动,柴油,CVT,2.4,2078.0,247.0,乡村公路,畅通,雪天,8.8,温和,27.6,26.4,0.25,0.68,0.04,46.0,2.6,1,5,191.0,1.053,0.236,0.194,0.143,0,1,1,4.7,0.147,0.042,0.349,18.17
MPV,混动,汽油,CVT,1.3,1579.0,158.0,乡村公路,严重拥堵,雨天,-0.7,激进,31.1,31.4,0.51,0.39,0.79,82.0,2.4,1,4,26.0,3.291,0.808,1.904,0.345,3,2,0,25.6,0.146,0.162,1.4,22.95
轿车,插电混动,柴油,自动,3.6,2310.0,185.0,山区公路,严重拥堵,雾天,11.6,温和,84.4,21.6,0.19,0.48,0.01,361.0,2.6,0,2,108.0,1.064,0.178,0.375,0.136,0,1,0,7.3,0.264,0.014,0.255,22.24
轿车,混动,汽油,手动,2.9,1771.0,113.0,乡村公路,严重拥堵,雨天,-4.7,标准,27.1,23.9,0.14,0.12,0.08,337.0,2.6,1,5,192.0,2.27,0.313,0.161,0.443,1,1,0,4.4,0.145,0.11,0.669,20.0
跑车,插电混动,柴油,双离合,3.7,1272.0,125.0,山区公路,缓行,雾天,21.4,标准,25.5,37.4,0.74,0.34,0.6,356.0,2.1,0,5,107.0,1.698,0.55,0.422,0.505,2,2,2,10.0,0.206,0.004,1.703,21.29
轿车,混动,汽油,双离合,3.6,1558.0,208.0,城市道路,畅通,雪天,-5.2,温和,58.2,30.7,0.48,0.4,0.47,361.0,2.2,0,2,9.0,0.87,0.262,0.182,0.099,0,2,0,5.0,0.107,0.031,0.406,15.64
MPV,插电混动,柴油,自动,3.7,2242.0,145.0,乡村公路,畅通,雪天,28.6,标准,102.9,19.5,0.48,0.69,0.36,361.0,2.5,1,3,158.0,0.391,0.187,0.354,0.148,1,3,1,8.8,0.219,0.096,1.037,20.41
跑车,自然吸气,汽油,自动,1.1,1720.0,156.0,城市道路,缓行,雨天,9.4,激进,97.5,20.0,0.54,0.24,0.66,217.0,3.0,1,5,61.0,2.238,1.325,2.117,0.192,2,2,0,18.4,0.127,0.154,1.546,25.0
MPV,插电混动,柴油,CVT,2.3,1601.0,103.0,乡村公路,严重拥堵,晴天,26.7,标准,92.0,36.5,0.28,0.8,0.13,114.0,2.4,1,1,63.0,1.067,0.202,0.396,0.116,4,0,1,10.9,0.204,0.107,1.267,17.72
SUV,混动,汽油,CVT,2.4,2068.0,116.0,乡村公路,严重拥堵,雾天,-5.8,标准,50.4,33.1,0.13,0.56,0.44,419.0,2.9,1,1,137.0,1.961,0.56,1.249,0.251,3,0,1,5.3,0.116,0.044,0.858,24.71
跑车,混动,汽油,自动,3.9,2073.0,122.0,高速公路,畅通,晴天,12.5,激进,113.0,39.1,0.48,0.34,0.59,350.0,2.1,1,5,64.0,3.439,1.148,1.552,0.895,2,2,1,13.8,0.104,0.108,1.667,25.0
MPV,插电混动,柴油,手动,3.7,1564.0,211.0,乡村公路,严重拥堵,雨天,28.5,温和,58.6,37.8,0.84,0.3,0.39,448.0,2.9,0,5,125.0,0.536,0.341,0.533,0.265,0,0,0,4.9,0.077,0.034,0.442,19.93
跑车,插电混动,柴油,自动,2.6,2067.0,223.0,山区公路,严重拥堵,晴天,30.3,温和,104.7,36.3,0.73,0.53,0.6,483.0,2.2,1,3,36.0,0.549,0.22,0.409,0.044,0,5,1,2.8,0.212,0.008,0.483,25.0
MPV,自然吸气,柴油,自动,1.1,2402.0,365.0,乡村公路,畅通,雨天,38.9,温和,49.4,30.3,0.38,0.66,0.59,343.0,2.8,1,3,174.0,0.707,0.323,0.688,0.123,1,0,1,2.8,0.1,0.031,0.47,20.73
轿车,混动,柴油,手动,2.1,2275.0,104.0,高速公路,畅通,雨天,24.2,标准,88.1,30.7,0.6,0.39,0.7,473.0,2.7,1,3,20.0,0.342,0.638,0.974,0.062,1,2,2,15.5,0.162,0.095,1.644,14.26
SUV,插电混动,柴油,双离合,1.2,1241.0,119.0,城市道路,缓行,雾天,3.8,激进,38.9,20.5,0.29,0.56,0.61,77.0,2.7,0,2,26.0,1.927,0.867,0.181,0.36,3,1,2,5.8,0.1,0.158,1.61,14.49
皮卡,混动,汽油,手动,1.4,2026.0,276.0,山区公路,严重拥堵,晴天,14.5,温和,100.4,33.5,0.73,0.36,0.77,362.0,2.9,1,3,103.0,0.845,0.261,0.086,0.084,0,0,1,7.8,0.087,0.017,0.511,24.97
SUV,涡轮增压,柴油,自动,1.5,2412.0,391.0,高速公路,严重拥堵,雾天,-9.3,标准,99.9,17.0,0.53,0.36,0.59,216.0,2.6,0,4,112.0,1.657,0.806,1.071,0.421,0,1,1,5.1,0.196,0.035,0.558,25.0
跑车,涡轮增压,汽油,自动,1.3,1894.0,254.0,高速公路,缓行,雪天,26.8,温和,72.1,39.2,0.16,0.44,0.07,331.0,2.2,1,3,62.0,0.503,0.159,0.604,0.154,0,0,1,3.9,0.191,0.047,0.608,21.84
MPV,混动,汽油,手动,1.9,1859.0,341.0,城市道路,缓行,雾天,38.9,温和,111.1,21.6,0.85,0.26,0.69,460.0,2.4,0,4,157.0,0.94,0.416,0.741,0.256,0,0,0,6.3,0.197,0.029,0.895,21.44
SUV,涡轮增压,汽油,手动,3.7,1464.0,313.0,乡村公路,拥堵,雾天,34.8,激进,82.4,17.9,0.48,0.73,0.73,128.0,2.1,0,1,120.0,1.935,0.873,1.876,0.551,2,1,1,9.6,0.107,0.132,2.666,25.0
轿车,涡轮增压,汽油,手动,1.6,1373.0,195.0,城市道路,严重拥堵,雪天,36.1,激进,21.5,25.5,0.28,0.25,0.62,182.0,2.6,0,1,84.0,3.421,1.266,1.338,0.439,5,2,1,20.2,0.176,0.143,1.064,24.3
皮卡,混动,汽油,自动,2.4,1510.0,192.0,城市道路,缓行,雪天,10.1,标准,110.2,15.8,0.43,0.29,0.36,401.0,2.5,0,4,163.0,2.13,0.666,1.106,0.355,0,1,0,11.0,0.186,0.077,1.037,21.26
SUV,涡轮增压,汽油,双离合,1.0,2090.0,160.0,乡村公路,拥堵,晴天,33.5,温和,91.1,34.5,0.23,0.38,0.7,16.0,2.4,0,5,41.0,0.292,0.212,0.223,0.038,2,1,0,5.4,0.168,0.008,0.562,18.78
轿车,涡轮增压,汽油,双离合,1.7,1714.0,227.0,城市道路,拥堵,雾天,-8.5,温和,25.3,25.5,0.34,0.35,0.63,217.0,2.4,0,1,104.0,1.034,0.146,0.536,0.113,3,0,0,2.4,0.295,0.056,0.607,19.78
跑车,插电混动,汽油,双离合,2.7,1204.0,342.0,乡村公路,缓行,雪天,9.2,温和,113.9,11.0,0.66,0.39,0.49,209.0,2.7,0,2,30.0,0.328,0.204,0.228,0.293,2,1,0,3.4,0.153,0.047,0.575,16.87
皮卡,插电混动,汽油,双离合,1.8,2047.0,176.0,高速公路,严重拥堵,雾天,36.9,标准,96.3,7.4,0.52,0.14,0.07,425.0,2.9,0,2,80.0,1.404,0.541,0.99,0.523,2,0,1,12.6,0.103,0.078,1.223,20.99
皮卡,混动,汽油,手动,2.0,2445.0,125.0,乡村公路,畅通,雾天,38.2,标准,56.5,10.3,0.24,0.21,0.02,357.0,2.9,1,3,106.0,2.216,0.264,0.472,0.093,2,3,1,11.7,0.251,0.084,1.112,20.58
跑车,混动,汽油,CVT,2.9,2349.0,357.0,山区公路,缓行,晴天,6.1,标准,113.8,26.2,0.44,0.58,0.72,98.0,3.0,0,3,173.0,1.992,0.359,1.329,0.563,1,1,0,16.1,0.138,0.099,0.902,25.0
SUV,自然吸气,柴油,自动,2.5,1323.0,244.0,乡村公路,缓行,晴天,28.6,温和,81.5,11.3,0.86,0.36,0.02,149.0,2.6,0,2,67.0,0.825,0.348,0.565,0.155,1,0,2,6.0,0.319,0.038,0.304,16.41
轿车,涡轮增压,柴油,双离合,3.6,2075.0,240.0,乡村公路,畅通,雪天,17.1,标准,52.7,37.2,0.41,0.16,0.75,181.0,2.6,0,5,21.0,0.633,0.697,1.291,0.459,2,0,2,17.4,0.09,0.088,0.7,19.43
轿车,自然吸气,柴油,手动,2.6,2251.0,118.0,山区公路,拥堵,雾天,30.0,标准,99.3,10.3,0.56,0.7,0.17,376.0,2.3,0,2,155.0,0.938,0.467,1.231,0.084,3,0,0,15.5,0.091,0.023,0.396,24.11
跑车,混动,柴油,手动,1.7,2014.0,244.0,乡村公路,拥堵,雾天,12.6,温和,43.1,39.3,0.52,0.61,0.43,125.0,2.7,1,2,52.0,0.904,0.201,0.472,0.242,0,0,0,7.8,0.218,0.006,0.636,22.92
MPV,混动,汽油,手动,2.2,2246.0,149.0,乡村公路,畅通,雪天,35.1,激进,108.1,13.5,0.61,0.56,0.63,280.0,2.7,1,3,30.0,3.333,0.299,0.846,0.191,2,1,0,12.0,0.114,0.026,1.163,22.17
